width,height,ratio,area,class
tensor(248.7500),tensor(35.),tensor(7.1071),tensor(8706.2500),1
tensor(45.),tensor(223.7500),tensor(0.2011),tensor(10068.7500),0
tensor(40.),tensor(212.5000),tensor(0.1882),tensor(8500.),0
tensor(31.2500),tensor(145.),tensor(0.2155),tensor(4531.2500),0
tensor(143.7500),tensor(116.2500),tensor(1.2366),tensor(16710.9375),0
tensor(23.7500),tensor(88.7500),tensor(0.2676),tensor(2107.8125),0
tensor(365.),tensor(276.2500),tensor(1.3213),tensor(100831.2500),4
tensor(125.),tensor(17.5000),tensor(7.1429),tensor(2187.5000),1
tensor(66.2500),tensor(97.5000),tensor(0.6795),tensor(6459.3750),0
tensor(118.7500),tensor(537.5000),tensor(0.2209),tensor(63828.1250),0
tensor(637.5000),tensor(62.5000),tensor(10.2000),tensor(39843.7500),1
tensor(241.2500),tensor(101.2500),tensor(2.3827),tensor(24426.5625),0
tensor(37.5000),tensor(605.),tensor(0.0620),tensor(22687.5000),0
tensor(638.7500),tensor(96.2500),tensor(6.6364),tensor(61479.6875),2
tensor(508.7500),tensor(43.7500),tensor(11.6286),tensor(22257.8125),1
tensor(160.),tensor(403.7500),tensor(0.3963),tensor(64600.),0
tensor(191.2500),tensor(470.),tensor(0.4069),tensor(89887.5000),0
tensor(258.7500),tensor(132.5000),tensor(1.9528),tensor(34284.3750),0
tensor(217.5000),tensor(46.2500),tensor(4.7027),tensor(10059.3750),1
tensor(221.2500),tensor(517.5000),tensor(0.4275),tensor(114496.8750),0
tensor(160.),tensor(320.),tensor(0.5000),tensor(51200.),0
tensor(136.2500),tensor(321.2500),tensor(0.4241),tensor(43770.3125),0
tensor(126.2500),tensor(155.),tensor(0.8145),tensor(19568.7500),0
tensor(121.2500),tensor(33.7500),tensor(3.5926),tensor(4092.1875),1
tensor(66.2500),tensor(27.5000),tensor(2.4091),tensor(1821.8750),1
tensor(140.),tensor(308.7500),tensor(0.4534),tensor(43225.),0
tensor(121.2500),tensor(230.),tensor(0.5272),tensor(27887.5000),0
tensor(188.7500),tensor(638.7500),tensor(0.2955),tensor(120564.0625),0
tensor(638.7500),tensor(68.7500),tensor(9.2909),tensor(43914.0625),1
tensor(37.5000),tensor(101.2500),tensor(0.3704),tensor(3796.8750),0
tensor(192.5000),tensor(16.2500),tensor(11.8462),tensor(3128.1250),1
tensor(125.),tensor(222.5000),tensor(0.5618),tensor(27812.5000),0
tensor(147.5000),tensor(325.),tensor(0.4538),tensor(47937.5000),0
tensor(521.2500),tensor(320.),tensor(1.6289),tensor(166800.),2
tensor(223.7500),tensor(117.5000),tensor(1.9043),tensor(26290.6250),2
tensor(638.7500),tensor(227.5000),tensor(2.8077),tensor(145315.6250),2
tensor(418.7500),tensor(33.7500),tensor(12.4074),tensor(14132.8125),1
tensor(120.),tensor(252.5000),tensor(0.4752),tensor(30300.),0
tensor(142.5000),tensor(462.5000),tensor(0.3081),tensor(65906.2500),0
tensor(475.),tensor(46.2500),tensor(10.2703),tensor(21968.7500),1
tensor(202.5000),tensor(422.5000),tensor(0.4793),tensor(85556.2500),2
tensor(362.5000),tensor(203.7500),tensor(1.7791),tensor(73859.3750),0
tensor(120.),tensor(530.),tensor(0.2264),tensor(63600.),0
tensor(176.2500),tensor(528.7500),tensor(0.3333),tensor(93192.1875),2
tensor(32.5000),tensor(70.),tensor(0.4643),tensor(2275.),0
tensor(437.5000),tensor(637.5000),tensor(0.6863),tensor(278906.2500),2
tensor(61.2500),tensor(130.),tensor(0.4712),tensor(7962.5000),0
tensor(75.),tensor(47.5000),tensor(1.5789),tensor(3562.5000),4
tensor(122.5000),tensor(112.5000),tensor(1.0889),tensor(13781.2500),4
tensor(26.2500),tensor(97.5000),tensor(0.2692),tensor(2559.3750),0
tensor(160.),tensor(171.2500),tensor(0.9343),tensor(27400.),4
tensor(31.2500),tensor(26.2500),tensor(1.1905),tensor(820.3125),3
tensor(637.5000),tensor(417.5000),tensor(1.5269),tensor(266156.2500),4
tensor(130.),tensor(422.5000),tensor(0.3077),tensor(54925.),0
tensor(162.5000),tensor(105.),tensor(1.5476),tensor(17062.5000),2
tensor(457.5000),tensor(447.5000),tensor(1.0223),tensor(204731.2500),2
tensor(371.2500),tensor(167.5000),tensor(2.2164),tensor(62184.3750),4
tensor(23.7500),tensor(137.5000),tensor(0.1727),tensor(3265.6250),0
tensor(128.7500),tensor(123.7500),tensor(1.0404),tensor(15932.8125),2
tensor(53.7500),tensor(128.7500),tensor(0.4175),tensor(6920.3125),0
tensor(36.2500),tensor(92.5000),tensor(0.3919),tensor(3353.1250),0
tensor(73.7500),tensor(55.),tensor(1.3409),tensor(4056.2500),4
tensor(117.5000),tensor(133.7500),tensor(0.8785),tensor(15715.6250),4
tensor(120.),tensor(547.5000),tensor(0.2192),tensor(65700.),0
tensor(161.2500),tensor(21.2500),tensor(7.5882),tensor(3426.5625),1
tensor(212.5000),tensor(56.2500),tensor(3.7778),tensor(11953.1250),1
tensor(637.5000),tensor(92.5000),tensor(6.8919),tensor(58968.7500),1
tensor(151.2500),tensor(81.2500),tensor(1.8615),tensor(12289.0625),0
tensor(611.2500),tensor(243.7500),tensor(2.5077),tensor(148992.1875),2
tensor(96.2500),tensor(320.),tensor(0.3008),tensor(30800.),0
tensor(467.5000),tensor(437.5000),tensor(1.0686),tensor(204531.2500),2
tensor(408.7500),tensor(282.5000),tensor(1.4469),tensor(115471.8750),4
tensor(56.2500),tensor(53.7500),tensor(1.0465),tensor(3023.4375),2
tensor(148.7500),tensor(88.7500),tensor(1.6761),tensor(13201.5625),2
tensor(103.7500),tensor(120.),tensor(0.8646),tensor(12450.),4
tensor(187.5000),tensor(16.2500),tensor(11.5385),tensor(3046.8750),1
tensor(90.),tensor(61.2500),tensor(1.4694),tensor(5512.5000),0
tensor(8.7500),tensor(53.7500),tensor(0.1628),tensor(470.3125),0
tensor(195.),tensor(32.5000),tensor(6.),tensor(6337.5000),1
tensor(31.2500),tensor(126.2500),tensor(0.2475),tensor(3945.3125),0
tensor(253.7500),tensor(33.7500),tensor(7.5185),tensor(8564.0625),1
tensor(42.5000),tensor(46.2500),tensor(0.9189),tensor(1965.6250),3
tensor(11.2500),tensor(22.5000),tensor(0.5000),tensor(253.1250),3
tensor(106.2500),tensor(433.7500),tensor(0.2450),tensor(46085.9375),3
tensor(530.),tensor(137.5000),tensor(3.8545),tensor(72875.),1
tensor(122.5000),tensor(622.5000),tensor(0.1968),tensor(76256.2500),0
tensor(101.2500),tensor(31.2500),tensor(3.2400),tensor(3164.0625),1
tensor(22.5000),tensor(122.5000),tensor(0.1837),tensor(2756.2500),0
tensor(271.2500),tensor(262.5000),tensor(1.0333),tensor(71203.1250),4
tensor(80.),tensor(638.7500),tensor(0.1252),tensor(51100.),0
tensor(436.2500),tensor(55.),tensor(7.9318),tensor(23993.7500),1
tensor(281.2500),tensor(142.5000),tensor(1.9737),tensor(40078.1250),0
tensor(638.7500),tensor(502.5000),tensor(1.2711),tensor(320971.8750),2
tensor(141.2500),tensor(323.7500),tensor(0.4363),tensor(45729.6875),0
tensor(166.2500),tensor(41.2500),tensor(4.0303),tensor(6857.8125),1
tensor(61.2500),tensor(180.),tensor(0.3403),tensor(11025.),0
tensor(111.2500),tensor(166.2500),tensor(0.6692),tensor(18495.3125),0
tensor(316.2500),tensor(73.7500),tensor(4.2881),tensor(23323.4375),1
tensor(41.2500),tensor(111.2500),tensor(0.3708),tensor(4589.0625),0
tensor(638.7500),tensor(115.),tensor(5.5543),tensor(73456.2500),1
tensor(211.2500),tensor(135.),tensor(1.5648),tensor(28518.7500),4
tensor(18.7500),tensor(28.7500),tensor(0.6522),tensor(539.0625),3
tensor(82.5000),tensor(16.2500),tensor(5.0769),tensor(1340.6250),1
tensor(27.5000),tensor(136.2500),tensor(0.2018),tensor(3746.8750),0
tensor(428.7500),tensor(37.5000),tensor(11.4333),tensor(16078.1250),1
tensor(32.5000),tensor(61.2500),tensor(0.5306),tensor(1990.6250),3
tensor(26.2500),tensor(55.),tensor(0.4773),tensor(1443.7500),3
tensor(207.5000),tensor(191.2500),tensor(1.0850),tensor(39684.3750),2
tensor(40.),tensor(80.),tensor(0.5000),tensor(3200.),0
tensor(26.2500),tensor(45.),tensor(0.5833),tensor(1181.2500),0
tensor(65.),tensor(66.2500),tensor(0.9811),tensor(4306.2500),0
tensor(173.7500),tensor(35.),tensor(4.9643),tensor(6081.2500),1
tensor(7.5000),tensor(43.7500),tensor(0.1714),tensor(328.1250),0
tensor(238.7500),tensor(38.7500),tensor(6.1613),tensor(9251.5625),1
tensor(157.5000),tensor(638.7500),tensor(0.2466),tensor(100603.1250),0
tensor(115.),tensor(248.7500),tensor(0.4623),tensor(28606.2500),0
tensor(155.),tensor(22.5000),tensor(6.8889),tensor(3487.5000),1
tensor(513.7500),tensor(250.),tensor(2.0550),tensor(128437.5000),2
tensor(93.7500),tensor(478.7500),tensor(0.1958),tensor(44882.8125),0
tensor(83.7500),tensor(637.5000),tensor(0.1314),tensor(53390.6250),0
tensor(463.7500),tensor(307.5000),tensor(1.5081),tensor(142603.1250),0
tensor(25.),tensor(160.),tensor(0.1562),tensor(4000.),0
tensor(95.),tensor(32.5000),tensor(2.9231),tensor(3087.5000),0
tensor(53.7500),tensor(56.2500),tensor(0.9556),tensor(3023.4375),0
tensor(13.7500),tensor(102.5000),tensor(0.1341),tensor(1409.3750),0
tensor(80.),tensor(136.2500),tensor(0.5872),tensor(10900.),0
tensor(53.7500),tensor(626.2500),tensor(0.0858),tensor(33660.9375),0
tensor(273.7500),tensor(27.5000),tensor(9.9545),tensor(7528.1250),1
tensor(35.),tensor(380.),tensor(0.0921),tensor(13300.),0
tensor(182.5000),tensor(120.),tensor(1.5208),tensor(21900.),2
tensor(346.2500),tensor(386.2500),tensor(0.8964),tensor(133739.0625),0
tensor(76.2500),tensor(487.5000),tensor(0.1564),tensor(37171.8750),0
tensor(101.2500),tensor(61.2500),tensor(1.6531),tensor(6201.5625),0
tensor(21.2500),tensor(202.5000),tensor(0.1049),tensor(4303.1250),0
tensor(35.),tensor(73.7500),tensor(0.4746),tensor(2581.2500),0
tensor(411.2500),tensor(72.5000),tensor(5.6724),tensor(29815.6250),1
tensor(443.7500),tensor(62.5000),tensor(7.1000),tensor(27734.3750),1
tensor(255.),tensor(561.2500),tensor(0.4543),tensor(143118.7500),0
tensor(173.7500),tensor(577.5000),tensor(0.3009),tensor(100340.6250),0
tensor(638.7500),tensor(361.2500),tensor(1.7682),tensor(230748.4375),4
tensor(81.2500),tensor(447.5000),tensor(0.1816),tensor(36359.3750),0
tensor(110.),tensor(43.7500),tensor(2.5143),tensor(4812.5000),1
tensor(256.2500),tensor(45.),tensor(5.6944),tensor(11531.2500),1
tensor(28.7500),tensor(62.5000),tensor(0.4600),tensor(1796.8750),0
tensor(73.7500),tensor(132.5000),tensor(0.5566),tensor(9771.8750),0
tensor(68.7500),tensor(376.2500),tensor(0.1827),tensor(25867.1875),0
tensor(45.),tensor(143.7500),tensor(0.3130),tensor(6468.7500),0
tensor(36.2500),tensor(71.2500),tensor(0.5088),tensor(2582.8125),0
tensor(36.2500),tensor(526.2500),tensor(0.0689),tensor(19076.5625),0
tensor(500.),tensor(262.5000),tensor(1.9048),tensor(131250.),2
tensor(230.),tensor(130.),tensor(1.7692),tensor(29900.),2
tensor(26.2500),tensor(41.2500),tensor(0.6364),tensor(1082.8125),0
tensor(92.5000),tensor(46.2500),tensor(2.),tensor(4278.1250),1
tensor(170.),tensor(21.2500),tensor(8.),tensor(3612.5000),1
tensor(638.7500),tensor(56.2500),tensor(11.3556),tensor(35929.6875),1
tensor(17.5000),tensor(137.5000),tensor(0.1273),tensor(2406.2500),0
tensor(217.5000),tensor(178.7500),tensor(1.2168),tensor(38878.1250),2
tensor(67.5000),tensor(65.),tensor(1.0385),tensor(4387.5000),4
tensor(131.2500),tensor(175.),tensor(0.7500),tensor(22968.7500),4
tensor(50.),tensor(373.7500),tensor(0.1338),tensor(18687.5000),0
tensor(116.2500),tensor(65.),tensor(1.7885),tensor(7556.2500),0
tensor(78.7500),tensor(638.7500),tensor(0.1233),tensor(50301.5625),0
tensor(577.5000),tensor(282.5000),tensor(2.0442),tensor(163143.7500),2
tensor(638.7500),tensor(175.),tensor(3.6500),tensor(111781.2500),1
tensor(563.7500),tensor(451.2500),tensor(1.2493),tensor(254392.1875),2
tensor(222.5000),tensor(166.2500),tensor(1.3383),tensor(36990.6250),2
tensor(21.2500),tensor(28.7500),tensor(0.7391),tensor(610.9375),3
tensor(400.),tensor(453.7500),tensor(0.8815),tensor(181500.),4
tensor(146.2500),tensor(80.),tensor(1.8281),tensor(11700.),2
tensor(30.),tensor(70.),tensor(0.4286),tensor(2100.),0
tensor(68.7500),tensor(610.),tensor(0.1127),tensor(41937.5000),0
tensor(506.2500),tensor(63.7500),tensor(7.9412),tensor(32273.4375),1
tensor(321.2500),tensor(66.2500),tensor(4.8491),tensor(21282.8125),1
tensor(288.7500),tensor(50.),tensor(5.7750),tensor(14437.5000),1
tensor(433.7500),tensor(86.2500),tensor(5.0290),tensor(37410.9375),1
tensor(603.7500),tensor(58.7500),tensor(10.2766),tensor(35470.3125),1
tensor(422.5000),tensor(33.7500),tensor(12.5185),tensor(14259.3750),1
tensor(78.7500),tensor(111.2500),tensor(0.7079),tensor(8760.9375),3
tensor(21.2500),tensor(42.5000),tensor(0.5000),tensor(903.1250),3
tensor(636.2500),tensor(83.7500),tensor(7.5970),tensor(53285.9375),1
tensor(136.2500),tensor(90.),tensor(1.5139),tensor(12262.5000),0
tensor(316.2500),tensor(60.),tensor(5.2708),tensor(18975.),1
tensor(35.),tensor(638.7500),tensor(0.0548),tensor(22356.2500),0
tensor(151.2500),tensor(516.2500),tensor(0.2930),tensor(78082.8125),0
tensor(197.5000),tensor(46.2500),tensor(4.2703),tensor(9134.3750),1
tensor(317.5000),tensor(255.),tensor(1.2451),tensor(80962.5000),2
tensor(346.2500),tensor(316.2500),tensor(1.0949),tensor(109501.5625),2
tensor(405.),tensor(100.),tensor(4.0500),tensor(40500.),2
tensor(233.7500),tensor(51.2500),tensor(4.5610),tensor(11979.6875),1
tensor(443.7500),tensor(37.5000),tensor(11.8333),tensor(16640.6250),1
tensor(40.),tensor(638.7500),tensor(0.0626),tensor(25550.),0
tensor(638.7500),tensor(73.7500),tensor(8.6610),tensor(47107.8125),1
tensor(167.5000),tensor(63.7500),tensor(2.6275),tensor(10678.1250),1
tensor(638.7500),tensor(105.),tensor(6.0833),tensor(67068.7500),1
tensor(138.7500),tensor(318.7500),tensor(0.4353),tensor(44226.5625),0
tensor(195.),tensor(51.2500),tensor(3.8049),tensor(9993.7500),1
tensor(207.5000),tensor(23.7500),tensor(8.7368),tensor(4928.1250),1
tensor(38.7500),tensor(206.2500),tensor(0.1879),tensor(7992.1875),0
tensor(72.5000),tensor(112.5000),tensor(0.6444),tensor(8156.2500),0
tensor(16.2500),tensor(166.2500),tensor(0.0977),tensor(2701.5625),0
tensor(25.),tensor(133.7500),tensor(0.1869),tensor(3343.7500),0
tensor(202.5000),tensor(26.2500),tensor(7.7143),tensor(5315.6250),1
tensor(328.7500),tensor(75.),tensor(4.3833),tensor(24656.2500),1
tensor(187.5000),tensor(43.7500),tensor(4.2857),tensor(8203.1250),1
tensor(638.7500),tensor(167.5000),tensor(3.8134),tensor(106990.6250),1
tensor(46.2500),tensor(485.),tensor(0.0954),tensor(22431.2500),0
tensor(260.),tensor(32.5000),tensor(8.),tensor(8450.),1
tensor(32.5000),tensor(88.7500),tensor(0.3662),tensor(2884.3750),0
tensor(138.7500),tensor(22.5000),tensor(6.1667),tensor(3121.8750),1
tensor(71.2500),tensor(91.2500),tensor(0.7808),tensor(6501.5625),4
tensor(176.2500),tensor(22.5000),tensor(7.8333),tensor(3965.6250),1
tensor(92.5000),tensor(55.),tensor(1.6818),tensor(5087.5000),0
tensor(17.5000),tensor(48.7500),tensor(0.3590),tensor(853.1250),0
tensor(152.5000),tensor(23.7500),tensor(6.4211),tensor(3621.8750),1
tensor(197.5000),tensor(638.7500),tensor(0.3092),tensor(126153.1250),0
tensor(431.2500),tensor(97.5000),tensor(4.4231),tensor(42046.8750),1
tensor(195.),tensor(488.7500),tensor(0.3990),tensor(95306.2500),0
tensor(110.),tensor(357.5000),tensor(0.3077),tensor(39325.),0
tensor(321.2500),tensor(46.2500),tensor(6.9459),tensor(14857.8125),1
tensor(95.),tensor(143.7500),tensor(0.6609),tensor(13656.2500),0
tensor(146.2500),tensor(26.2500),tensor(5.5714),tensor(3839.0625),1
tensor(83.7500),tensor(185.),tensor(0.4527),tensor(15493.7500),0
tensor(21.2500),tensor(68.7500),tensor(0.3091),tensor(1460.9375),0
tensor(638.7500),tensor(122.5000),tensor(5.2143),tensor(78246.8750),1
tensor(21.2500),tensor(15.),tensor(1.4167),tensor(318.7500),3
tensor(636.2500),tensor(276.2500),tensor(2.3032),tensor(175764.0625),4
tensor(76.2500),tensor(528.7500),tensor(0.1442),tensor(40317.1875),0
tensor(21.2500),tensor(48.7500),tensor(0.4359),tensor(1035.9375),0
tensor(43.7500),tensor(71.2500),tensor(0.6140),tensor(3117.1875),0
tensor(132.5000),tensor(237.5000),tensor(0.5579),tensor(31468.7500),0
tensor(636.2500),tensor(178.7500),tensor(3.5594),tensor(113729.6875),1
tensor(75.),tensor(208.7500),tensor(0.3593),tensor(15656.2500),0
tensor(493.7500),tensor(73.7500),tensor(6.6949),tensor(36414.0625),1
tensor(27.5000),tensor(212.5000),tensor(0.1294),tensor(5843.7500),0
tensor(203.7500),tensor(123.7500),tensor(1.6465),tensor(25214.0625),2
tensor(165.),tensor(88.7500),tensor(1.8592),tensor(14643.7500),2
tensor(633.7500),tensor(105.),tensor(6.0357),tensor(66543.7500),1
tensor(241.2500),tensor(15.),tensor(16.0833),tensor(3618.7500),1
tensor(66.2500),tensor(97.5000),tensor(0.6795),tensor(6459.3750),3
tensor(18.7500),tensor(36.2500),tensor(0.5172),tensor(679.6875),3
tensor(32.5000),tensor(632.5000),tensor(0.0514),tensor(20556.2500),0
tensor(638.7500),tensor(207.5000),tensor(3.0783),tensor(132540.6250),2
tensor(51.2500),tensor(638.7500),tensor(0.0802),tensor(32735.9375),0
tensor(36.2500),tensor(510.),tensor(0.0711),tensor(18487.5000),0
tensor(340.),tensor(41.2500),tensor(8.2424),tensor(14025.),1
tensor(52.5000),tensor(185.),tensor(0.2838),tensor(9712.5000),0
tensor(48.7500),tensor(63.7500),tensor(0.7647),tensor(3107.8125),0
tensor(136.2500),tensor(572.5000),tensor(0.2380),tensor(78003.1250),0
tensor(592.5000),tensor(43.7500),tensor(13.5429),tensor(25921.8750),1
tensor(473.7500),tensor(31.2500),tensor(15.1600),tensor(14804.6875),1
tensor(230.),tensor(120.),tensor(1.9167),tensor(27600.),2
tensor(21.2500),tensor(207.5000),tensor(0.1024),tensor(4409.3750),0
tensor(43.7500),tensor(636.2500),tensor(0.0688),tensor(27835.9375),0
tensor(146.2500),tensor(477.5000),tensor(0.3063),tensor(69834.3750),0
tensor(127.5000),tensor(638.7500),tensor(0.1996),tensor(81440.6250),0
tensor(260.),tensor(527.5000),tensor(0.4929),tensor(137150.),4
tensor(25.),tensor(33.7500),tensor(0.7407),tensor(843.7500),3
tensor(378.7500),tensor(258.7500),tensor(1.4638),tensor(98001.5625),2
tensor(155.),tensor(88.7500),tensor(1.7465),tensor(13756.2500),2
tensor(33.7500),tensor(81.2500),tensor(0.4154),tensor(2742.1875),0
tensor(460.),tensor(78.7500),tensor(5.8413),tensor(36225.),1
tensor(290.),tensor(162.5000),tensor(1.7846),tensor(47125.),0
tensor(86.2500),tensor(200.),tensor(0.4313),tensor(17250.),0
tensor(145.),tensor(567.5000),tensor(0.2555),tensor(82287.5000),0
tensor(638.7500),tensor(446.2500),tensor(1.4314),tensor(285042.1875),2
tensor(251.2500),tensor(170.),tensor(1.4779),tensor(42712.5000),2
tensor(638.7500),tensor(80.),tensor(7.9844),tensor(51100.),1
tensor(201.2500),tensor(68.7500),tensor(2.9273),tensor(13835.9375),1
tensor(546.2500),tensor(36.2500),tensor(15.0690),tensor(19801.5625),1
tensor(533.7500),tensor(36.2500),tensor(14.7241),tensor(19348.4375),1
tensor(465.),tensor(51.2500),tensor(9.0732),tensor(23831.2500),1
tensor(40.),tensor(638.7500),tensor(0.0626),tensor(25550.),0
tensor(103.7500),tensor(432.5000),tensor(0.2399),tensor(44871.8750),0
tensor(68.7500),tensor(638.7500),tensor(0.1076),tensor(43914.0625),0
tensor(467.5000),tensor(555.),tensor(0.8423),tensor(259462.5000),4
tensor(303.7500),tensor(121.2500),tensor(2.5052),tensor(36829.6875),2
tensor(165.),tensor(242.5000),tensor(0.6804),tensor(40012.5000),2
tensor(47.5000),tensor(638.7500),tensor(0.0744),tensor(30340.6250),0
tensor(272.5000),tensor(27.5000),tensor(9.9091),tensor(7493.7500),1
tensor(226.2500),tensor(30.),tensor(7.5417),tensor(6787.5000),1
tensor(81.2500),tensor(215.),tensor(0.3779),tensor(17468.7500),0
tensor(51.2500),tensor(100.),tensor(0.5125),tensor(5125.),0
tensor(216.2500),tensor(637.5000),tensor(0.3392),tensor(137859.3750),0
tensor(36.2500),tensor(166.2500),tensor(0.2180),tensor(6026.5625),0
tensor(50.),tensor(55.),tensor(0.9091),tensor(2750.),0
tensor(82.5000),tensor(42.5000),tensor(1.9412),tensor(3506.2500),1
tensor(537.5000),tensor(38.7500),tensor(13.8710),tensor(20828.1250),1
tensor(217.5000),tensor(257.5000),tensor(0.8447),tensor(56006.2500),2
tensor(231.2500),tensor(241.2500),tensor(0.9585),tensor(55789.0625),2
tensor(232.5000),tensor(132.5000),tensor(1.7547),tensor(30806.2500),2
tensor(303.7500),tensor(146.2500),tensor(2.0769),tensor(44423.4375),2
tensor(126.2500),tensor(128.7500),tensor(0.9806),tensor(16254.6875),2
tensor(51.2500),tensor(145.),tensor(0.3534),tensor(7431.2500),0
tensor(62.5000),tensor(117.5000),tensor(0.5319),tensor(7343.7500),0
tensor(455.),tensor(432.5000),tensor(1.0520),tensor(196787.5000),0
tensor(100.),tensor(337.5000),tensor(0.2963),tensor(33750.),0
tensor(638.7500),tensor(96.2500),tensor(6.6364),tensor(61479.6875),1
tensor(241.2500),tensor(91.2500),tensor(2.6438),tensor(22014.0625),0
tensor(392.5000),tensor(58.7500),tensor(6.6809),tensor(23059.3750),1
tensor(193.7500),tensor(32.5000),tensor(5.9615),tensor(6296.8750),1
tensor(46.2500),tensor(80.),tensor(0.5781),tensor(3700.),0
tensor(638.7500),tensor(295.),tensor(2.1653),tensor(188431.2500),2
tensor(271.2500),tensor(552.5000),tensor(0.4910),tensor(149865.6250),0
tensor(188.7500),tensor(586.2500),tensor(0.3220),tensor(110654.6875),0
tensor(461.2500),tensor(430.),tensor(1.0727),tensor(198337.5000),0
tensor(81.2500),tensor(268.7500),tensor(0.3023),tensor(21835.9375),0
tensor(37.5000),tensor(97.5000),tensor(0.3846),tensor(3656.2500),0
tensor(638.7500),tensor(126.2500),tensor(5.0594),tensor(80642.1875),1
tensor(135.),tensor(638.7500),tensor(0.2114),tensor(86231.2500),0
tensor(81.2500),tensor(638.7500),tensor(0.1272),tensor(51898.4375),0
tensor(638.7500),tensor(125.),tensor(5.1100),tensor(79843.7500),1
tensor(33.7500),tensor(42.5000),tensor(0.7941),tensor(1434.3750),3
tensor(420.),tensor(230.),tensor(1.8261),tensor(96600.),4
tensor(81.2500),tensor(398.7500),tensor(0.2038),tensor(32398.4375),0
tensor(41.2500),tensor(213.7500),tensor(0.1930),tensor(8817.1875),0
tensor(37.5000),tensor(120.),tensor(0.3125),tensor(4500.),0
tensor(28.7500),tensor(61.2500),tensor(0.4694),tensor(1760.9375),0
tensor(68.7500),tensor(187.5000),tensor(0.3667),tensor(12890.6250),0
tensor(241.2500),tensor(403.7500),tensor(0.5975),tensor(97404.6875),0
tensor(266.2500),tensor(450.),tensor(0.5917),tensor(119812.5000),0
tensor(218.7500),tensor(83.7500),tensor(2.6119),tensor(18320.3125),0
tensor(136.2500),tensor(38.7500),tensor(3.5161),tensor(5279.6875),1
tensor(575.),tensor(112.5000),tensor(5.1111),tensor(64687.5000),1
tensor(333.7500),tensor(92.5000),tensor(3.6081),tensor(30871.8750),1
tensor(287.5000),tensor(46.2500),tensor(6.2162),tensor(13296.8750),1
tensor(482.5000),tensor(270.),tensor(1.7870),tensor(130275.),2
tensor(638.7500),tensor(447.5000),tensor(1.4274),tensor(285840.6250),2
tensor(52.5000),tensor(355.),tensor(0.1479),tensor(18637.5000),0
tensor(100.),tensor(60.),tensor(1.6667),tensor(6000.),0
tensor(73.7500),tensor(185.),tensor(0.3986),tensor(13643.7500),0
tensor(142.5000),tensor(553.7500),tensor(0.2573),tensor(78909.3750),0
tensor(352.5000),tensor(532.5000),tensor(0.6620),tensor(187706.2500),2
tensor(472.5000),tensor(388.7500),tensor(1.2154),tensor(183684.3750),2
tensor(148.7500),tensor(146.2500),tensor(1.0171),tensor(21754.6875),0
tensor(351.2500),tensor(133.7500),tensor(2.6262),tensor(46979.6875),0
tensor(176.2500),tensor(560.),tensor(0.3147),tensor(98700.),0
tensor(258.7500),tensor(233.7500),tensor(1.1070),tensor(60482.8125),2
tensor(342.5000),tensor(317.5000),tensor(1.0787),tensor(108743.7500),2
tensor(482.5000),tensor(347.5000),tensor(1.3885),tensor(167668.7500),2
tensor(175.),tensor(100.),tensor(1.7500),tensor(17500.),4
tensor(13.7500),tensor(25.),tensor(0.5500),tensor(343.7500),3
tensor(78.7500),tensor(22.5000),tensor(3.5000),tensor(1771.8750),1
tensor(23.7500),tensor(87.5000),tensor(0.2714),tensor(2078.1250),0
tensor(58.7500),tensor(12.5000),tensor(4.7000),tensor(734.3750),1
tensor(132.5000),tensor(78.7500),tensor(1.6825),tensor(10434.3750),2
tensor(22.5000),tensor(40.),tensor(0.5625),tensor(900.),3
tensor(531.2500),tensor(58.7500),tensor(9.0426),tensor(31210.9375),1
tensor(291.2500),tensor(355.),tensor(0.8204),tensor(103393.7500),2
tensor(297.5000),tensor(151.2500),tensor(1.9669),tensor(44996.8750),0
tensor(167.5000),tensor(342.5000),tensor(0.4891),tensor(57368.7500),0
tensor(125.),tensor(172.5000),tensor(0.7246),tensor(21562.5000),0
tensor(137.5000),tensor(315.),tensor(0.4365),tensor(43312.5000),0
tensor(360.),tensor(377.5000),tensor(0.9536),tensor(135900.),0
tensor(80.),tensor(460.),tensor(0.1739),tensor(36800.),0
tensor(66.2500),tensor(66.2500),tensor(1.),tensor(4389.0625),0
tensor(77.5000),tensor(123.7500),tensor(0.6263),tensor(9590.6250),0
tensor(638.7500),tensor(311.2500),tensor(2.0522),tensor(198810.9375),2
tensor(400.),tensor(310.),tensor(1.2903),tensor(124000.),2
tensor(103.7500),tensor(313.7500),tensor(0.3307),tensor(32551.5625),0
tensor(41.2500),tensor(172.5000),tensor(0.2391),tensor(7115.6250),0
tensor(107.5000),tensor(223.7500),tensor(0.4804),tensor(24053.1250),3
tensor(88.7500),tensor(395.),tensor(0.2247),tensor(35056.2500),0
tensor(68.7500),tensor(120.),tensor(0.5729),tensor(8250.),0
tensor(18.7500),tensor(273.7500),tensor(0.0685),tensor(5132.8125),0
tensor(32.5000),tensor(43.7500),tensor(0.7429),tensor(1421.8750),2
tensor(80.),tensor(237.5000),tensor(0.3368),tensor(19000.),0
tensor(255.),tensor(331.2500),tensor(0.7698),tensor(84468.7500),4
tensor(17.5000),tensor(17.5000),tensor(1.),tensor(306.2500),3
tensor(365.),tensor(150.),tensor(2.4333),tensor(54750.),2
tensor(121.2500),tensor(61.2500),tensor(1.9796),tensor(7426.5625),2
